iteration,batch,learning_rate,ctc_loss,decoded_text
0,0,0.01,2288.77,krckrcykckckckckckckckkzbskkbkbkyrkrkrkyrkyrkykybybybkcybkcbkcbcbcbbycyrbrkbrkrkrkrryrykrykryklyklckbkbrkrkrkrkrkrkrkrkrkrkrkrkrkrkrkrkrkrkrkryksbyksbchsbcubcucucucbucbcbkcbkibkirbkereberekerekrekekhkekckckckckckckckckckeckekekckcrkcrckcrycrycyrkycycyucrycrkcrcrcrcrcrcrbrcrcrcyrcycykckykcrykcrhkchchuchcucrcrcrcrcrurrhrrrihktitc
0,1,0.01,1933.93,k
0,2,0.01,1156.39,kukakakakakakakukukuk
0,3,0.01,1144.66,uauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauaua
0,4,0.01,1442.76,a a a a a
0,5,0.01,1750.04,glglglgigigigiglglglglglglglglglglglglglglglglglglglglglalalalglglglglglglglgigigigaigalgalalgagigig glglglglglgigigiglglglglglglglglglglglglglglglglglglglglglglglglglglglglglglglglglglglglglglglglglglglglgigigigigigililililglglglglglglglglglglglglglglglglglglglglglglglglglglilililililililililigigigiglgigigi
0,6,0.01,1122.14,glglglglglglglglglglglglglglglglglglglglglglglglglglglgig
0,7,0.01,1858.4,gig
0,8,0.01,1491.17,gdg
0,9,0.01,788.34,gagagagagagagagag
0,10,0.01,970.223,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,11,0.01,1548.94,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag g g g g gagagagagagagag
0,12,0.01,1320.46,g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g
0,13,0.01,923.226,gsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsgsg
0,14,0.01,1212.51,gegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegeg
0,15,0.01,1209.21,gegegegegegegegegegegegegegegegegegegegegegegegegegegegegkgkgkgkg
0,16,0.01,1231.52,gkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkg
0,17,0.01,806.969,gkgkgkgkgkgkgkgkgkgkgkgkgkgkgkgkg
0,18,0.01,1256.2,gagagagagagagagagagagagagagagagagagagagagagag
0,19,0.01,914.998,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,20,0.01,1134.2,gagagagagagagagagag
0,21,0.01,1341.21,gagagagagagagagagagagagagagagagagagagagagagagagag
0,22,0.01,1308.6,gagagagagagagagagagagagagagagagagagagagagagagagag
0,23,0.01,964.278,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,24,0.01,1422.71,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,25,0.01,1199.47,gigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigig
0,26,0.01,670.942,gdgdgdgdgdgdgdgdgdgdgdgdgdgdgdgdgdgdgdgdgdgdgdgdg
0,27,0.01,857.663,g g g g g g g g g g g g g g g
0,28,0.01,1439.69,g g g g g g g g g g g
0,29,0.01,1184.84,g g g g g g g g g g g g g g g g g
0,30,0.01,819.017,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,31,0.01,1095.79,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,32,0.01,981.847,gegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegegeg
0,33,0.01,1160.4,gygygygygygygygygygygygygygygygygygygygygygygygygygygygyg
0,34,0.01,664.012,gygygygygygygygygygygygygygygygygyg
0,35,0.01,1526.84,g g g g g g g g g g g g g g g g g g
0,36,0.01,984.678,gigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigig
0,37,0.01,1283.84,g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g
0,38,0.01,1282.26,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,39,0.01,995.96,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,40,0.01,1018.94,gagagagagagagagagagagagagagagagagagagagagagag
0,41,0.01,1092.88,gdgdgdgdgdgdgdgdgdgdgdgdg
0,42,0.01,1126.81,gdgdgdgdgdgdgdgdgdgdgdgdgdg
0,43,0.01,1495.5,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,44,0.01,1341.11,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,45,0.01,986.683,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,46,0.01,1018.06,gigigigigigigigigigigigigigigigigigigigigigigig
0,47,0.01,866.002,grgrgrgrgrgrgrgrgrgrgrg
0,48,0.01,1076.55,grgrgrgrgrgrgrg
0,49,0.01,1325.14,glglglglglglg
0,50,0.01,1251.96,gagagagagagagagagagagagagagagagagagagag
0,51,0.01,995.759,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,52,0.01,864.929,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,53,0.01,727.72,g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g
0,54,0.01,973.749,g g g g g g g g g g g g g g g g g g g g g g g
0,55,0.01,1404.18,g g g g g g g g g g
0,56,0.01,1191.12,gdgdgdgdgdgdgdgdgdg
0,57,0.01,856.197,gegegegegegegegegegegegegeg
0,58,0.01,1019.35,gegegegegegegegegegegegegegegegegegeg
0,59,0.01,1224.78,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,60,0.01,1138.75,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,61,0.01,897.013,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,62,0.01,811.622,g g g g g g g g g g g g g g g g g g g g g g g
0,63,0.01,627.326,g g g g g g g g g
0,64,0.01,856.155,g g g g g
0,65,0.01,1438.57,g
0,66,0.01,1167.21,gdgdgdgdgdgdg
0,67,0.01,806.645,gagagagagagagagagagagagagagagagagagagagagagag
0,68,0.01,1072.56,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,69,0.01,989.372,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,70,0.01,1108.38,g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g
0,71,0.01,748.382,g g g g g g g g g g g g g g g g g g g g
0,72,0.01,1168.77,g g g g g g g g g g g
0,73,0.01,855.116,g g g g g g g g
0,74,0.01,1038.06,gsgsgsgsgsgsgsgsgsg
0,75,0.01,1239.25,gagagagagagagagagagagagagagagag
0,76,0.01,1148.61,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,77,0.01,631.586,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,78,0.01,1328.49,g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g
0,79,0.01,1079.18,g g g g g g g g g g g g g g
0,80,0.01,635.231,gigigigigigigigigigig
0,81,0.01,850.033,gigigigigigigigigig
0,82,0.01,1405.85,gigigigigigigigig
0,83,0.01,1154.72,gdgdgdgdgdgdgdgdgdgdg
0,84,0.01,807.586,gagagagagagagagagagagagagagagagagagagagagagagagagagag
0,85,0.01,1067.53,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,86,0.01,988.747,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,87,0.01,1108.63,g g g g g g g g g g g g g g g g g g g g g g g g g g g g g
0,88,0.01,766.739,g g g g g g g g g g g g g g g g g g
0,89,0.01,1156.27,g g g g g g g g g g g g
0,90,0.01,946.754,gegegegegegegegegegegeg
0,91,0.01,1034.79,gegegegegegegegegegegegeg
0,92,0.01,995.361,g g g g g g g g g g g g g g g g g
0,93,0.01,1036.09,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,94,0.01,911.722,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,95,0.01,1329.73,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,96,0.01,1076.44,gagagagagagagagagagagagagagagagagagagagagag
0,97,0.01,632.237,gigigigigigigigigigigigigigigigigig
0,98,0.01,838.574,gigigigigigigigigigigigig
0,99,0.01,1369.82,g g g g g g g g g g g
0,100,0.01,1131.1,g g g g g g g g g g g g g g g g g
0,101,0.01,812.882,g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g
0,102,0.01,1054.36,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,103,0.01,962.436,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
0,104,0.01,1112.59,gagagagagagagagagagagagagagagagagag
1,0,0.01,738.161,gagagagagagagagagagagagagag
1,1,0.01,1152.26,gigigigigigigigigigigigigigigig
1,2,0.01,840.092,g g g g g g g g g g g g g g g g
1,3,0.01,1016.31,g g g g g g g g g g g g g g g g g g g
1,4,0.01,1222.91,gagagagagagagagagagagagagagagagagagagagagagagagagagagagag
1,5,0.01,1139.86,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
1,6,0.01,905.741,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
1,7,0.01,1270.09,gagagagagagagagagagagagagagagagagagagagag
1,8,0.01,1080.84,gigigigigigigigigigigigigigigigig
1,9,0.01,634.265,gigigigigigigigigigigigigigigigigigig
1,10,0.01,837.885,g g g g g g g g g g g g g
1,11,0.01,1371.46,g g g g g g g g g g g g
1,12,0.01,1132.65,gagagagagagagagagagagagagagagagagagagagagagagagag
1,13,0.01,844.755,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
1,14,0.01,1042.01,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
1,15,0.01,963.472,g g g g g g g g g g g g g g g g g
1,16,0.01,1107.08,gegegegegegegegegegegegegegeg
1,17,0.01,743.34,g g g g g g g g g g g g g g g g g g
1,18,0.01,1155.55,g g g g g g g g g g g g g g g g g g g g g g
1,19,0.01,841.476,g g g g g g g g g g g g g g g g g g g g g g g g
1,20,0.01,1012.53,g g g g g g g g g g g g g g g g g g g g
1,21,0.01,1230.78,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
1,22,0.01,1144.62,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
1,23,0.01,895.059,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
1,24,0.01,1324.45,g g g g g g g g g g g g g g g g g g g g
1,25,0.01,1077.66,g g g g g g g g g g g g g g g g g g g g g
1,26,0.01,638.572,gigigigigigigigigigigigigigigigigigigigigigigig
1,27,0.01,839.764,g g g g g g g g g g g g g g
1,28,0.01,1374.63,g g g g g g g g g g
1,29,0.01,1129.54,g g g g g g g g g g g g g g g g
1,30,0.01,821.981,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
1,31,0.01,1053.84,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
1,32,0.01,957.843,gagagagagagagagagagagagagagagagagagagagagagagagagagagag
1,33,0.01,1120.04,g g g g g g g g g g g g g g g g
1,34,0.01,642.382,g g g g g g g g g g g g g g g g g g
1,35,0.01,1492.04,g g g g g g g g g g g g g g g g g
1,36,0.01,955.62,g g g g g g g g g g g g g g g g g g g g g g g g g g
1,37,0.01,1253.55,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
1,38,0.01,1261.3,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
1,39,0.01,988.955,gagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagagag
1,40,0.01,999.855,gagagagagagagagagagagagagagagagagagagagagagagagag
1,41,0.01,1075.57,gagagagagagagagagagagag
1,42,0.01,1102.74,g g g g g g g g g g g g g
1,43,0.01,1499.4,g g g g g g g g g g g g g g g g g g g g g g g g g g g g
1,44,0.01,1329.59,g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g
